Episode,Total Reward,Requests Served,Average Waiting
244,-12684584,65,84.94
245,-7883896,67,65.49
246,-5901245,84,56.18
247,-6116064,80,58.04
248,-10141577,67,72.64
249,-4566538,74,54.56
250,-7762442,74,58.12
251,-9430244,48,68.91
252,-6718306,84,65.16
253,-6601889,67,59.45
254,-6520023,64,58.56
255,-4031251,73,54.14
256,-10971462,54,79.59
257,-6854126,88,60.29
258,-7014720,70,58.86
259,-9240637,75,76.51
260,-6192587,88,58.48
261,-7463336,54,66.06
262,-10832988,68,80.62
263,-9856062,67,65.53
264,-7426485,72,64.45
265,-4353269,81,48.83
266,-7849285,48,60.31
267,-9746104,56,67.84
268,-12654446,41,81.85
269,-10623122,37,78.75
270,-9883640,62,74.21
271,-10400005,67,68.25
272,-8761750,60,64.63
273,-6902347,64,61.17
274,-12266726,38,79.83
275,-4213252,80,49.35
276,-7050745,74,68.13
277,-8737452,59,63.97
278,-9830538,69,77.28
279,-8351873,76,72.76
280,-6491582,83,57.13
281,-9367460,61,66.77
282,-8435808,65,65.25
283,-11328141,61,74.38
284,-6758317,59,57.22
285,-5848054,81,58.99
286,-10092655,63,73.06
287,-9328122,57,63.59
288,-10198268,63,80.93
289,-9242139,52,71.88
290,-9998521,56,67.11
291,-7224791,50,61.77
292,-8596355,57,63.88
293,-6749176,75,65.59
294,-8928197,73,77.1
295,-9712882,56,71.93
296,-7917334,69,62.96
297,-8939745,57,69.4
298,-7482533,74,62.4
299,-10983572,42,82.27
300,-13122826,37,81.97
301,-8330682,52,70.15
302,-9151239,52,72.91
303,-13013834,30,82.26
304,-12214178,60,76.76
305,-8761648,65,67.57
306,-7883622,66,66.9
307,-11129571,31,75.1
308,-6365512,84,61.37
309,-8819355,51,65.75
310,-7825401,46,61.13
311,-8410626,63,63.41
312,-14591741,57,89.17
313,-6389518,70,52.05
314,-8726082,75,66.67
315,-7987552,67,70.75
316,-4427696,73,51.0
317,-9666908,69,71.21
318,-4238829,83,47.09
319,-5889218,69,50.62
320,-6203864,77,59.79
321,-12287517,46,76.73
322,-9479603,68,69.2
323,-6558952,74,60.79
324,-6814003,76,54.78
325,-9240839,88,70.65
326,-5040083,78,59.27
327,-5200371,74,56.63
328,-8324581,69,62.29
329,-8011745,59,61.2
330,-6381772,83,58.22
331,-9704308,54,68.54
332,-7227063,68,60.88
333,-10014409,49,73.47
334,-7045921,72,54.44
335,-5519027,107,57.2
336,-4352106,94,56.95
337,-11791748,51,79.95
338,-7511763,72,58.02
339,-6848904,78,56.9
340,-7249051,73,62.45
341,-11680489,45,75.82
342,-9497441,94,76.16
343,-9531952,57,73.69
344,-7965208,73,67.64
345,-7600762,79,77.76
346,-10296904,60,83.65
347,-9595738,43,71.55
348,-10194767,41,74.2
349,-9979622,72,74.62
350,-11986632,60,71.83
351,-13277679,69,88.29
352,-5997390,68,55.23
353,-9102514,76,73.68
354,-8341946,60,71.68
355,-7382363,94,58.6
356,-10042225,69,75.43
357,-5527669,63,54.86
358,-6895783,73,61.48
359,-8539057,58,68.14
360,-6801242,67,62.41
361,-5927691,70,63.83
362,-7588922,69,54.77
363,-8072514,62,60.64
364,-7639997,60,62.21
365,-10034945,68,71.86
366,-7927941,70,65.47
367,-9049161,46,73.55
368,-7928338,61,60.52
369,-13125791,41,88.1
370,-8662127,48,65.63
371,-9354414,54,75.76
372,-6574872,65,54.64
373,-11178481,39,80.13
374,-7717554,41,60.94
375,-12454599,40,75.87
376,-10826036,36,71.82
377,-11573966,53,77.06
378,-10909069,54,78.04
379,-8799473,70,65.21
380,-11430677,37,85.26
381,-11934411,90,83.3
382,-10586380,69,76.07
383,-8651583,80,69.56
384,-6012825,70,59.59
385,-10149497,50,70.91
386,-9279981,75,68.03
387,-10158269,57,79.59
388,-12836429,65,85.01
389,-7752294,59,66.9
390,-13036659,41,89.75
391,-9884737,47,74.65
392,-12022116,57,80.25
393,-12200154,39,82.25
394,-11443901,30,75.58
395,-12616436,68,85.5
396,-10382431,64,75.59
397,-11642132,53,78.46
398,-10471364,58,77.07
399,-11608537,54,82.48
400,-12186599,42,82.97
401,-14507567,50,89.77
402,-11961729,58,82.75
403,-10336488,69,75.37
404,-11328983,39,78.36
405,-11361015,37,76.78
406,-13639333,64,86.99
407,-11237166,63,77.15
408,-12289188,56,82.95
409,-17806112,16,106.56
410,-15315769,36,96.92
411,-9025743,66,70.26
412,-11991149,53,83.95
413,-6415991,72,59.44
414,-11752718,35,76.78
415,-7749024,69,69.66
416,-12269449,55,82.94
417,-10002682,52,73.8
418,-8707159,52,62.15
419,-10626921,52,77.95
420,-11267762,64,82.73
421,-11625198,30,72.74
422,-13421026,56,88.62
423,-9175329,58,65.61
424,-9077942,48,75.33
