Episode,Total Reward,Requests Served,Average Waiting
211,-15978294.0,43,96.89
212,-12333270.0,42,78.85
213,-12781494.0,41,80.25
214,-12130898.0,42,79.62
215,-12855087.0,47,78.58
216,-11530714.0,40,72.2
217,-10982225.0,45,71.13
218,-10297734.0,50,69.57
219,-13148273.0,50,82.09
220,-10399175.0,47,69.14
221,-13337516.0,57,83.19
222,-11745747.0,54,78.5
223,-12620259.0,55,82.76
224,-11144219.0,39,77.28
225,-10454910.0,45,71.0
226,-14195962.0,50,87.01
227,-14923168.0,43,96.8
228,-9862695.0,49,68.94
229,-13171085.0,49,88.86
230,-11681772.0,54,75.28
231,-12027247.0,52,77.55
232,-9568293.0,61,61.85
233,-12344223.0,49,81.54
234,-11589497.0,43,74.17
235,-11636770.0,45,77.81
236,-11511007.0,49,77.78
237,-12126866.0,40,75.67
238,-9361526.0,48,66.73
239,-12424170.0,36,74.75
240,-10209547.0,44,65.95
241,-13448620.0,40,83.73
242,-12773729.0,43,78.86
243,-14653826.0,44,79.7
244,-12487005.0,40,82.85
245,-12591474.0,39,77.88
246,-12163292.0,46,76.01
247,-12482913.0,41,82.84
248,-14952527.0,37,92.93
249,-13125320.0,42,89.0
250,-10399530.0,49,71.69
251,-12881739.0,44,82.87
252,-13300644.0,34,80.28
253,-13475146.0,53,88.2
254,-11527413.0,52,78.58
255,-14311320.0,57,87.06
256,-11888086.0,39,77.99
257,-13078860.0,47,84.74
258,-14295738.0,38,87.06
259,-11759274.0,42,78.19
260,-12192389.0,42,78.1
261,-9886080.0,48,63.07
262,-7978633.0,40,63.41
263,-11893084.0,48,73.09
264,-11266255.0,43,68.73
265,-12508113.0,53,78.86
266,-12899392.0,54,82.08
267,-11423563.0,43,76.97
268,-10745118.0,43,71.87
269,-9787177.0,47,65.06
270,-10808043.0,61,73.73
271,-9525593.0,48,62.59
272,-9674274.0,46,67.04
273,-12153637.0,45,83.87
274,-11752040.0,37,77.18
275,-12107594.0,43,81.15
276,-13060156.0,48,81.37
277,-10887618.0,53,71.94
278,-12676047.0,48,80.66
279,-10864437.0,54,74.68
280,-10042932.0,50,74.29
281,-10743456.0,50,75.42
282,-13870182.0,45,83.41
283,-11385390.0,46,72.39
284,-13724685.0,62,79.73
285,-11069906.0,36,72.59
286,-12704738.0,45,85.04
287,-10136289.0,47,69.47
288,-9737578.0,53,63.03
289,-12220577.0,60,77.27
290,-11699516.0,61,75.07
291,-10273726.0,46,67.15
292,-10952181.0,51,75.13
293,-12561452.0,51,77.87
294,-13805693.0,58,81.43
295,-12821216.0,40,81.3
296,-15089353.0,53,84.39
297,-11626384.0,41,71.49
298,-11065340.0,51,75.5
299,-11785840.0,43,77.17
300,-11918910.0,50,78.77
301,-11340884.0,38,75.17
302,-8726817.0,48,65.34
303,-11669978.0,37,76.91
304,-10607229.0,44,75.74
305,-11066212.0,48,71.15
306,-13812714.0,46,84.22
307,-11203149.0,40,72.91
308,-11969797.0,34,75.65
309,-9374171.0,47,61.07
310,-10479153.0,46,69.21
311,-8755672.0,49,62.45
312,-9838158.0,51,66.18
313,-12526949.0,43,82.01
314,-11285569.0,50,72.92
315,-11970806.0,50,74.45
316,-8452525.0,52,65.69
317,-9930316.0,47,71.73
318,-10248193.0,57,73.99
319,-10764344.0,51,75.4
320,-9892085.0,39,74.45
321,-13691516.0,53,82.96
322,-11278148.0,44,77.03
323,-12932992.0,45,80.91
324,-9912969.0,51,66.63
325,-15325304.0,48,95.78
326,-12306241.0,36,76.38
327,-9263968.0,41,61.28
328,-12366796.0,46,77.29
329,-10856677.0,46,73.17
330,-11434348.0,49,77.33
331,-12636815.0,48,77.84
332,-11576674.0,52,71.12
333,-12660952.0,44,80.63
334,-11790538.0,35,80.95
335,-13891836.0,52,87.36
336,-11007919.0,57,76.4
337,-12514870.0,46,78.23
338,-12291258.0,43,81.44
339,-12693454.0,47,84.85
340,-13717688.0,48,89.58
341,-12441294.0,52,75.15
342,-11902267.0,51,77.76
343,-13010952.0,39,84.17
344,-10660932.0,60,75.04
345,-10061943.0,52,67.57
346,-10820033.0,47,73.6
347,-11061603.0,45,71.44
348,-12208383.0,41,72.96
349,-14491721.0,45,86.57
350,-13517321.0,42,84.6
351,-13493528.0,40,86.41
352,-10630001.0,52,70.62
353,-14202717.0,64,91.67
354,-9645502.0,60,69.74
355,-11486272.0,49,77.69
356,-12397935.0,51,79.36
357,-9899212.0,48,67.52
358,-12990285.0,42,81.11
359,-11949714.0,52,75.03
360,-9899968.0,51,68.61
361,-10525135.0,51,70.55
362,-11861625.0,48,84.62
363,-13403797.0,42,88.13
364,-11105768.0,48,74.29
365,-9796285.0,57,69.57
366,-11635418.0,57,79.45
367,-9977072.0,46,66.07
368,-13281755.0,46,84.35
369,-10869743.0,49,74.81
370,-10652075.0,39,68.16
371,-11817984.0,37,72.48
372,-10640976.0,52,70.69
373,-13799914.0,59,84.97
374,-13356995.0,31,81.29
375,-11919611.0,42,75.56
376,-9923523.0,39,71.23
377,-10325582.0,34,69.85
378,-9662612.0,41,69.85
379,-10502670.0,49,73.41
380,-9628719.0,47,64.97
381,-13323880.0,42,80.56
382,-12207275.0,38,86.09
383,-13552101.0,44,79.04
384,-10749063.0,48,70.61
385,-11903203.0,44,76.98
386,-11247095.0,48,69.15
387,-11184893.0,48,71.97
388,-10616049.0,47,73.13
389,-9387503.0,56,63.67
390,-12785078.0,40,75.46
391,-12211539.0,55,79.96
392,-13493450.0,52,83.79
393,-10898411.0,52,71.52
394,-11705680.0,43,76.8
395,-11283022.0,41,75.02
396,-12989615.0,44,84.28
397,-12156382.0,49,76.12
398,-10371020.0,39,66.07
399,-10114242.0,38,71.71
400,-11736663.0,46,74.34
401,-12407269.0,59,79.92
402,-9969243.0,54,71.56
403,-13474246.0,36,82.27
404,-12044599.0,40,77.51
405,-11185773.0,49,75.99
406,-14358807.0,51,89.08
407,-12077907.0,48,74.42
408,-10693866.0,50,73.43
409,-11194711.0,40,74.65
410,-10407804.0,52,66.24
411,-12920356.0,43,76.53
412,-12631980.0,48,78.8
413,-10044447.0,47,68.76
414,-13845730.0,42,88.26
415,-12543240.0,42,78.83
416,-11804627.0,39,86.21
417,-11605816.0,55,73.62
418,-10568075.0,56,71.56
419,-11868752.0,51,81.15
420,-10078201.0,44,66.59
421,-11609647.0,53,80.38
422,-10240378.0,49,67.94
423,-12653014.0,45,77.99
424,-14412715.0,45,91.85
425,-12812970.0,40,80.18
426,-12553269.0,52,77.96
427,-10608116.0,53,66.92
428,-14563848.0,57,89.76
429,-12699646.0,48,80.79
430,-12284706.0,45,81.69
431,-10948826.0,57,72.72
432,-11328473.0,44,69.21
433,-11575306.0,58,78.4
434,-10745368.0,53,71.08
435,-9028765.0,49,62.99
436,-11493629.0,47,76.61
437,-10907343.0,55,71.82
438,-12628678.0,52,76.9
439,-12990270.0,36,76.72
440,-12975793.0,52,84.65
441,-12078405.0,54,74.67
442,-10968897.0,49,74.96
443,-12716347.0,42,80.83
444,-12174486.0,38,79.34
445,-12295449.0,49,78.02
446,-12342891.0,49,77.47
447,-13300672.0,51,84.49
448,-13964683.0,48,86.09
449,-11422942.0,44,74.61
450,-10566119.0,59,70.4
451,-12170544.0,43,83.22
452,-12029728.0,52,76.83
453,-13963684.0,48,84.57
454,-9660452.0,46,66.63
455,-11245826.0,44,75.38
456,-12597271.0,55,85.58
457,-13560565.0,32,77.24
458,-13861843.0,53,86.22
459,-11424705.0,56,73.62
460,-11818115.0,52,73.71
461,-11259349.0,53,82.02
462,-11213595.0,37,70.93
463,-10688272.0,46,70.41
464,-10705318.0,50,75.4
465,-12149163.0,47,79.37
466,-10894814.0,50,73.41
467,-11971672.0,54,73.2
468,-10515833.0,43,76.94
469,-10525789.0,48,71.04
470,-11538929.0,47,72.82
471,-13896551.0,42,85.08
472,-13921352.0,44,92.86
473,-11850494.0,45,76.58
474,-12258232.0,60,79.17
475,-13652416.0,37,87.11
476,-11709025.0,49,78.11
477,-12583221.0,50,79.65
478,-13763752.0,43,87.25
479,-12117534.0,48,76.24
480,-11579673.0,49,81.73
481,-9252676.0,45,69.47
482,-10714081.0,44,68.39
483,-11657373.0,53,76.76
484,-10207267.0,51,67.16
485,-12612097.0,53,81.09
486,-10534756.0,36,72.77
487,-12907835.0,50,80.38
488,-12007106.0,58,81.86
489,-14566354.0,52,87.52
490,-9132918.0,46,64.58
491,-14464837.0,40,82.17
492,-14292448.0,48,88.2
493,-12961982.0,47,75.15
494,-12888136.0,47,85.54
495,-13094387.0,41,82.57
496,-11450011.0,40,77.01
497,-10389900.0,48,65.6
498,-13532629.0,57,84.25
499,-11188271.0,45,73.51
500,-11390617.0,42,73.47
501,-12254623.0,54,78.29
502,-9563240.0,50,62.94
503,-13110528.0,42,84.32
504,-11472053.0,54,73.5
505,-11925301.0,53,76.49
506,-13944169.0,54,88.2
507,-12505184.0,42,74.97
508,-10013652.0,39,67.59
509,-11724494.0,50,81.56
510,-11733570.0,50,73.53
511,-11038117.0,43,72.57
512,-13810310.0,47,87.82
513,-12300896.0,47,78.89
514,-11936565.0,44,74.17
515,-13160370.0,53,80.24
516,-12023341.0,53,78.45
517,-11091094.0,46,71.05
518,-12392225.0,55,80.47
519,-10920278.0,45,72.65
520,-9751763.0,45,67.42
521,-14485194.0,32,92.75
522,-12803390.0,50,79.71
523,-13201566.0,58,87.2
524,-11963081.0,45,75.58
525,-11593989.0,51,71.38
526,-13212745.0,35,85.16
527,-11810108.0,39,74.62
528,-12695509.0,46,76.18
529,-12398608.0,51,79.64
530,-10599791.0,47,65.32
531,-13824184.0,48,85.4
532,-11549940.0,38,72.16
533,-15720951.0,38,91.29
534,-8034135.0,44,61.51
535,-10241181.0,48,71.05
536,-6436912.0,41,49.72
537,-13264636.0,53,83.75
538,-13079036.0,46,77.03
539,-13217540.0,43,80.95
540,-11443728.0,46,74.54
541,-11675401.0,51,77.16
542,-12098695.0,55,77.58
543,-11307400.0,48,80.88
544,-10039535.0,52,76.5
545,-11024105.0,34,74.72
546,-11618832.0,49,73.34
