Episode,Total Reward,Requests Served,Average Waiting
211,-7135482.0,108,60.65
212,-7319471.0,86,55.55
213,-7389770.0,88,57.0
214,-6212815.0,104,59.96
215,-5082903.0,94,46.83
216,-7759646.0,102,69.31
217,-10227368.0,96,70.89
218,-9650638.0,92,69.95
219,-3736392.0,126,45.02
220,-7532323.0,93,59.58
221,-8334167.0,82,63.62
222,-9553470.0,95,59.88
223,-4142962.0,132,48.42
224,-9731615.0,78,69.43
225,-8867080.0,102,65.08
226,-5646692.0,106,65.72
227,-7800682.0,102,68.47
228,-13263513.0,71,81.18
229,-6861075.0,92,53.69
230,-3550225.0,86,45.72
231,-5555188.0,96,54.83
232,-8952797.0,114,67.59
233,-5285140.0,118,53.2
234,-5728359.0,108,55.13
235,-4827095.0,114,52.7
236,-7900708.0,115,61.7
237,-8039781.0,86,68.36
238,-5651789.0,154,49.9
239,-8017035.0,114,60.71
240,-8543206.0,78,64.84
241,-5039346.0,114,54.49
242,-8338770.0,124,71.2
243,-8345937.0,110,67.88
244,-8478907.0,134,72.73
245,-6103750.0,104,57.73
246,-9281564.0,98,69.48
247,-9099683.0,108,64.75
248,-10473982.0,96,76.78
249,-4851175.0,104,51.24
250,-4041007.0,118,53.11
251,-10861091.0,92,70.87
252,-7322605.0,98,56.93
253,-8938546.0,100,66.18
254,-5215129.0,132,55.07
255,-6699299.0,100,63.39
256,-6782567.0,106,64.68
257,-5844417.0,102,48.75
258,-8749502.0,106,62.35
259,-9072733.0,117,76.46
260,-4987701.0,110,50.76
261,-9391795.0,98,67.6
262,-11177998.0,110,73.23
263,-10318414.0,88,73.11
264,-7230716.0,96,66.3
265,-4860874.0,88,59.4
266,-7554928.0,104,74.39
267,-3565948.0,116,48.52
268,-7789591.0,90,59.58
269,-9305382.0,104,74.24
270,-8829084.0,96,63.84
271,-6944758.0,120,58.75
272,-5339301.0,98,53.55
273,-7885406.0,86,61.08
274,-8387365.0,108,66.92
275,-7877807.0,98,65.72
276,-11325256.0,84,76.93
277,-9538857.0,73,67.8
278,-7103594.0,100,58.01
279,-9739387.0,68,65.41
280,-7132220.0,108,58.45
281,-10441096.0,110,67.3
282,-7066782.0,82,57.5
283,-8425950.0,116,68.1
284,-10450058.0,106,65.11
285,-10065220.0,88,79.12
286,-6167650.0,112,53.11
287,-9435291.0,84,69.18
288,-7240744.0,79,61.6
289,-4561952.0,104,48.25
290,-7895209.0,104,62.68
291,-9334436.0,120,74.35
292,-7097560.0,113,56.88
293,-8482760.0,102,69.36
294,-5323578.0,142,55.64
295,-9456778.0,118,65.27
296,-7616814.0,82,63.74
